product_id,product_description,brand_description,brand_id,category_id,category_name,subcategory_id,subcategory_name
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Jack Links,JLNK,C482917,Supplies,C48291703,Supplies
71053,WHITE METAL LANTERN,Aliments,ALMN,C739204,Nail,C73920411,Nail Colour
84406B,CREAM CUPID HEARTS COAT HANGER,Dixon,DIXN,C615830,Kitchen Prep,C61583007,Dinnerware
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Wilton,WILT,C290174,Grooming,C29017402,Shaving Products
84029E,RED WOOLLY HOTTIE WHITE HEART.,Star Lytes,STLY,C804561,Outdoor Living,C80456109,BBQ
22752,SET 7 BABUSHKA NESTING BOXES,Purina,PURI,C193748,Hardware/Automotive,C19374806,Summer/Winter Needs
21730,GLASS STAR FROSTED T-LIGHT HOLDER,Physician's Formula,PHFO,C556921,Meal Makers,C55692104,Side Dish/Rice
22633,HAND WARMER UNION JACK,Villa Di Manno,VDMA,C947302,Grooming,C94730208,Deodorants & Antiper
22632,HAND WARMER RED POLKA DOT,Teddy's Choice,TC,C381650,Kids 4+ Girls Footwear & Accessories,C38165001,Footwear-Girls
84879,ASSORTED COLOUR BIRD ORNAMENT,Energizer,ENRZ,C720498,Fresh-Pork,C72049805,Fresh-Pork
22745,POPPY'S PLAYHOUSE BEDROOM,Lamborghini,LMBO,C164973,In-Store,C16497312,Frozen/Seasonal-In-S
22748,POPPY'S PLAYHOUSE KITCHEN,Neutrogena,NEUT,C598241,Floral,C59824103,Cut Flowers
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,Christie,CHRE,C473890,Hard Goods,C47389009,Nuts/Dried Fruit
22310,IVORY KNITTED MUG COSY,Post,POST,C816502,Toddler Boys Footwear & Accessories,C81650204,Access-Toddler Boys
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,Dare,DARE,C902316,Seasonal,C90231601,Calendars-Seasonal
22623,BOX OF VINTAGE JIGSAW BLOCKS,PC Financial,PCF,C341785,Floral,C34178506,Flowering Potted Pla
22622,BOX OF VINTAGE ALPHABET BLOCKS,Goody,GODY,C607924,Commercial,C60792402,Rolls-Commercial
21754,HOME BUILDING BLOCK WORD,Opti-Free,OFRE,C258417,Deli Meat,C25841708,Service Deli Meat
21755,LOVE BUILDING BLOCK WORD,Kinder,KINR,C794036,Wellness,C79403605,Diabetic
21777,RECIPE BOX WITH METAL HEART,LIFESAVERS,LFSV,C520981,Wellness,C52098101,First Aid Products
48187,DOORMAT NEW ENGLAND,Ice Breakers,ICEK,C183760,Kitchen Prep,C18376010,Cookware
22960,JAM MAKING SET WITH JARS,Nicoderm,NCDM,C469285,Home Decor,C46928507,Lifestyle Music
22913,RED COAT RACK PARIS FASHION,Vaseline,VSLN,C835104,Household,C83510403,Closet/Shelving
22912,YELLOW COAT RACK PARIS FASHION,Terry's,TRRY,C296417,Gaming,C29641702,Gaming Hardware
22914,BLUE COAT RACK PARIS FASHION,Hellmanns,HLMN,C701983,Snacks,C70198309,Ready To Eat Dessert
21756,BATH BUILDING BLOCK WORD,Fisher Price,FPRI,C468120,Garden,C46812006,Soils & Mulches
22728,ALARM CLOCK BAKELIKE PINK,Tootsie Roll,TROL,C924376,Processed,C92437601,Hams
