customer_id,parent_segment,segment
17850,Loyalty,High
13047,Loyalty,Medium
12583,Loyalty,Medium
13748,Loyalty,Low
15100,Loyalty,Low
15291,Loyalty,Medium
14688,Loyalty,High
17809,Loyalty,Low
15311,Loyalty,Medium
14527,Loyalty,Medium
16098,Loyalty,Medium
18074,Loyalty,High
17420,Loyalty,Medium
16029,Loyalty,Low
16250,Loyalty,Low
12431,Loyalty,High
17511,Loyalty,Low
17548,Loyalty,Medium
13705,Loyalty,Medium
13747,Loyalty,Medium
13408,Loyalty,High
13767,Loyalty,Low
17924,Loyalty,High
13448,Loyalty,High
15862,Loyalty,Low
15513,Loyalty,Low
12791,Loyalty,Low
16218,Loyalty,Medium
14045,Loyalty,Medium
14307,Loyalty,High
17908,Loyalty,Medium
17920,Loyalty,Medium
15287,Loyalty,Low
12838,Loyalty,High
13255,Loyalty,Medium
16583,Loyalty,High
18085,Loyalty,Medium
13758,Loyalty,Medium
13694,Loyalty,Medium
15983,Loyalty,Medium
14849,Loyalty,Medium
17968,Loyalty,High
16210,Loyalty,Low
17897,Loyalty,High
17377,Loyalty,Low
16552,Loyalty,High
17181,Loyalty,Medium
17951,Loyalty,Low
14729,Loyalty,High
12748,Loyalty,High
15012,Loyalty,Low
12868,Loyalty,Medium
17572,Loyalty,Medium
14078,Loyalty,Medium
14001,Loyalty,High
12662,Loyalty,Low
15525,Loyalty,Medium
14237,Loyalty,High
17905,Loyalty,High
15485,Loyalty,High
12433,Loyalty,Medium
16955,Loyalty,High
15350,Loyalty,Low
15605,Loyalty,High
18144,Loyalty,High
15922,Loyalty,Low
14594,Loyalty,High
15165,Loyalty,Medium
14911,Loyalty,High
16456,Loyalty,High
17841,Loyalty,Low
12472,Loyalty,Medium
17346,Loyalty,Medium
17643,Loyalty,Medium
17873,Loyalty,High
13093,Loyalty,Low
12921,Loyalty,High
13468,Loyalty,Low
17760,Loyalty,Low
16928,Loyalty,Low
16048,Loyalty,High
16274,Loyalty,High
14496,Loyalty,High
14696,Loyalty,High
16539,Loyalty,Medium
17025,Loyalty,Low
13777,Loyalty,Medium
17690,Loyalty,Low
12947,Loyalty,High
17460,Loyalty,High
18229,Loyalty,High
14142,Loyalty,Medium
17069,Loyalty,Low
13065,Loyalty,Medium
14606,Loyalty,High
16835,Loyalty,High
15235,Loyalty,High
13576,Loyalty,Medium
18011,Loyalty,High
13090,Loyalty,Low
15694,Loyalty,Medium
14741,Loyalty,High
13715,Loyalty,Medium
14092,Loyalty,Medium
17732,Loyalty,Low
12855,Loyalty,Medium
15752,Loyalty,Low
17855,Loyalty,Medium
14047,Loyalty,High
17925,Loyalty,Medium
13941,Loyalty,High
17017,Loyalty,Low
14135,Loyalty,Medium
13108,Loyalty,High
12471,Loyalty,High
15601,Loyalty,Low
13418,Loyalty,Low
14766,Loyalty,Medium
15658,Loyalty,High
14388,Loyalty,Low
14901,Loyalty,Low
18041,Loyalty,Low
15955,Loyalty,High
15070,Loyalty,High
16244,Loyalty,High
15111,Loyalty,Medium
14390,Loyalty,Medium
16546,Loyalty,High
15260,Loyalty,Low
13305,Loyalty,Medium
14491,Loyalty,Low
14060,Loyalty,Medium
15923,Loyalty,High
16752,Loyalty,Low
17287,Loyalty,Low
15363,Loyalty,Medium
12915,Loyalty,Medium
15544,Loyalty,Low
15738,Loyalty,High
